date,demand,event_name_1,event_type_1,has_event,promotional_event,holiday_event,snap_CA,snap_TX,snap_WI,weekday,wm_yr_wk,month,year,sell_price
2011-01-29,0,,,0,0,0,0,0,0,Saturday,11101,1,2011,1.0
2011-01-30,0,,,0,0,0,0,0,0,Sunday,11101,1,2011,1.0
2011-01-31,0,,,0,0,0,0,0,0,Monday,11101,1,2011,1.0
2011-02-01,0,,,0,0,0,1,1,0,Tuesday,11101,2,2011,1.0
2011-02-02,0,,,0,0,0,1,0,1,Wednesday,11101,2,2011,1.0
2011-02-03,0,,,0,0,0,1,1,1,Thursday,11101,2,2011,1.0
2011-02-04,0,,,0,0,0,1,0,0,Friday,11101,2,2011,1.0
2011-02-05,0,,,0,0,0,1,1,1,Saturday,11102,2,2011,1.0
2011-02-06,0,SuperBowl,Sporting,1,1,0,1,1,1,Sunday,11102,2,2011,1.0
2011-02-07,0,,,0,0,0,1,1,0,Monday,11102,2,2011,1.0
2011-02-08,0,,,0,0,0,1,0,1,Tuesday,11102,2,2011,1.0
2011-02-09,0,,,0,0,0,1,1,1,Wednesday,11102,2,2011,1.0
2011-02-10,0,,,0,0,0,1,0,0,Thursday,11102,2,2011,1.0
2011-02-11,0,,,0,0,0,0,1,1,Friday,11102,2,2011,1.0
2011-02-12,0,,,0,0,0,0,1,1,Saturday,11103,2,2011,1.0
2011-02-13,0,,,0,0,0,0,1,0,Sunday,11103,2,2011,1.0
2011-02-14,0,ValentinesDay,Cultural,1,1,1,0,0,1,Monday,11103,2,2011,1.0
2011-02-15,0,,,0,0,0,0,1,1,Tuesday,11103,2,2011,1.0
2011-02-16,0,,,0,0,0,0,0,0,Wednesday,11103,2,2011,1.0
2011-02-17,0,,,0,0,0,0,0,0,Thursday,11103,2,2011,1.0
2011-02-18,0,,,0,0,0,0,0,0,Friday,11103,2,2011,1.0
2011-02-19,0,,,0,0,0,0,0,0,Saturday,11104,2,2011,1.0
2011-02-20,0,,,0,0,0,0,0,0,Sunday,11104,2,2011,1.0
2011-02-21,0,PresidentsDay,National,1,1,0,0,0,0,Monday,11104,2,2011,1.0
2011-02-22,0,,,0,0,0,0,0,0,Tuesday,11104,2,2011,1.0
